date,home_team,scroe,away_team
17-10-2020,Pescara,1 - 2,Empoli
20-10-2020,Empoli,2 - 1,Spal
23-10-2020,Empoli,3 - 1,Pisa
01-11-2020,Venezia,2 - 0,Empoli
07-11-2020,Empoli,3 - 0,Reggina
21-11-2020,Cittadella,2 - 2,Empoli
28-11-2020,Empoli,2 - 2,Vicenza Virtus
07-12-2020,Pordenone,0 - 0,Empoli
12-12-2020,Virtus Entella,2 - 5,Empoli
15-12-2020,Empoli,1 - 0,Cremonese
19-12-2020,Chievo,1 - 1,Empoli
22-12-2020,Empoli,0 - 0,Reggiana
27-12-2020,Brescia,1 - 3,Empoli
30-12-2020,Empoli,1 - 1,Ascoli
04-01-2021,Nuova Cosenza,0 - 2,Empoli
17-01-2021,Empoli,5 - 0,Salernitana
24-01-2021,Lecce,2 - 2,Empoli
30-01-2021,Empoli,3 - 1,Frosinone
06-02-2021,Monza,1 - 1,Empoli
09-02-2021,Empoli,2 - 2,Pescara
13-02-2021,Spal,1 - 1,Empoli
20-02-2021,Pisa,1 - 1,Empoli
26-02-2021,Empoli,1 - 1,Venezia
02-03-2021,Reggina,0 - 3,Empoli
07-03-2021,Empoli,1 - 1,Cittadella
13-03-2021,Vicenza Virtus,0 - 2,Empoli
16-03-2021,Empoli,1 - 0,Pordenone
20-03-2021,Empoli,1 - 0,Virtus Entella
09-04-2021,Reggiana,0 - 1,Empoli
13-04-2021,Cremonese,2 - 2,Empoli
17-04-2021,Empoli,4 - 2,Brescia
27-04-2021,Empoli,2 - 2,Chievo
01-05-2021,Ascoli,2 - 0,Empoli
04-05-2021,Empoli,4 - 0,Nuova Cosenza
07-05-2021,Salernitana,2 - 0,Empoli
10-05-2021,Empoli,2 - 1,Lecce
26-09-2020,Frosinone,0 - 2,Empoli
03-10-2020,Venezia,0 - 2,Frosinone
17-10-2020,Frosinone,1 - 0,Ascoli
20-10-2020,Frosinone,0 - 0,Virtus Entella
24-10-2020,Pescara,0 - 2,Frosinone
01-11-2020,Frosinone,1 - 0,Cremonese
07-11-2020,Monza,2 - 0,Frosinone
20-11-2020,Frosinone,0 - 2,Nuova Cosenza
28-11-2020,Brescia,1 - 2,Frosinone
05-12-2020,Frosinone,3 - 2,Chievo
12-12-2020,Lecce,2 - 2,Frosinone
15-12-2020,Reggiana,1 - 2,Frosinone
18-12-2020,Frosinone,0 - 0,Salernitana
22-12-2020,Cittadella,1 - 0,Frosinone
27-12-2020,Frosinone,1 - 1,Pordenone
04-01-2021,Frosinone,1 - 2,Spal
15-01-2021,Vicenza Virtus,0 - 0,Frosinone
23-01-2021,Frosinone,1 - 1,Reggina
30-01-2021,Empoli,3 - 1,Frosinone
02-02-2021,Pisa,0 - 0,Frosinone
06-02-2021,Frosinone,1 - 2,Venezia
09-02-2021,Ascoli,1 - 1,Frosinone
14-02-2021,Virtus Entella,2 - 3,Frosinone
19-02-2021,Frosinone,0 - 0,Pescara
27-02-2021,Cremonese,4 - 0,Frosinone
02-03-2021,Frosinone,2 - 2,Monza
06-03-2021,Nuova Cosenza,1 - 2,Frosinone
13-03-2021,Frosinone,0 - 1,Brescia
16-03-2021,Chievo,0 - 0,Frosinone
20-03-2021,Frosinone,0 - 3,Lecce
02-04-2021,Frosinone,0 - 0,Reggiana
05-04-2021,Salernitana,1 - 0,Frosinone
10-04-2021,Frosinone,1 - 1,Cittadella
17-04-2021,Pordenone,2 - 0,Frosinone
01-05-2021,Frosinone,3 - 1,Pisa
04-05-2021,Spal,0 - 1,Frosinone
07-05-2021,Frosinone,1 - 1,Vicenza Virtus
10-05-2021,Reggina,0 - 4,Frosinone
26-09-2020,Lecce,0 - 0,Pordenone
03-10-2020,Ascoli,0 - 2,Lecce
16-10-2020,Brescia,3 - 0,Lecce
21-10-2020,Lecce,2 - 2,Cremonese
25-10-2020,Nuova Cosenza,1 - 1,Lecce
02-11-2020,Lecce,3 - 1,Pescara
08-11-2020,Virtus Entella,1 - 5,Lecce
21-11-2020,Lecce,7 - 1,Reggiana
27-11-2020,Chievo,1 - 2,Lecce
05-12-2020,Lecce,2 - 2,Venezia
12-12-2020,Lecce,2 - 2,Frosinone
15-12-2020,Salernitana,1 - 1,Lecce
19-12-2020,Lecce,0 - 3,Pisa
22-12-2020,Spal,1 - 0,Lecce
27-12-2020,Lecce,2 - 1,Vicenza Virtus
30-12-2020,Cittadella,2 - 2,Lecce
04-01-2021,Lecce,0 - 0,Monza
16-01-2021,Reggina,0 - 1,Lecce
24-01-2021,Lecce,2 - 2,Empoli
30-01-2021,Pordenone,1 - 1,Lecce
05-02-2021,Lecce,1 - 2,Ascoli
09-02-2021,Lecce,2 - 2,Brescia
13-02-2021,Cremonese,1 - 2,Lecce
21-02-2021,Lecce,3 - 1,Nuova Cosenza
27-02-2021,Pescara,1 - 1,Lecce
02-03-2021,Lecce,0 - 0,Virtus Entella
07-03-2021,Reggiana,0 - 4,Lecce
13-03-2021,Lecce,4 - 2,Chievo
16-03-2021,Venezia,2 - 3,Lecce
20-03-2021,Frosinone,0 - 3,Lecce
02-04-2021,Lecce,2 - 0,Salernitana
05-04-2021,Pisa,0 - 1,Lecce
10-04-2021,Lecce,1 - 2,Spal
17-04-2021,Vicenza Virtus,1 - 2,Lecce
01-05-2021,Lecce,1 - 3,Cittadella
04-05-2021,Monza,1 - 0,Lecce
07-05-2021,Lecce,2 - 2,Reggina
10-05-2021,Empoli,2 - 1,Lecce
17-05-2021,Venezia,1 - 0,Lecce
20-05-2021,Lecce,1 - 1,Venezia
25-09-2020,Monza,0 - 0,Spal
03-10-2020,Empoli,0 - 0,Monza
20-10-2020,Pisa,1 - 1,Monza
24-10-2020,Monza,1 - 2,Chievo
31-10-2020,Cittadella,1 - 2,Monza
07-11-2020,Monza,2 - 0,Frosinone
21-11-2020,Pordenone,1 - 1,Monza
28-11-2020,Monza,1 - 0,Reggina
02-12-2020,Monza,1 - 1,Vicenza Virtus
06-12-2020,Reggiana,3 - 0,Monza
11-12-2020,Venezia,0 - 2,Monza
15-12-2020,Monza,5 - 0,Virtus Entella
19-12-2020,Pescara,3 - 2,Monza
22-12-2020,Monza,2 - 0,Ascoli
27-12-2020,Cremonese,0 - 2,Monza
30-12-2020,Monza,3 - 0,Salernitana
04-01-2021,Lecce,0 - 0,Monza
16-01-2021,Monza,2 - 2,Nuova Cosenza
25-01-2021,Brescia,0 - 1,Monza
31-01-2021,Spal,1 - 1,Monza
06-02-2021,Monza,1 - 1,Empoli
09-02-2021,Vicenza Virtus,1 - 2,Monza
12-02-2021,Monza,0 - 2,Pisa
20-02-2021,Chievo,0 - 1,Monza
27-02-2021,Monza,0 - 0,Cittadella
02-03-2021,Frosinone,2 - 2,Monza
06-03-2021,Monza,2 - 0,Pordenone
13-03-2021,Reggina,1 - 0,Monza
16-03-2021,Monza,2 - 0,Reggiana
20-03-2021,Monza,1 - 4,Venezia
02-04-2021,Virtus Entella,1 - 1,Monza
05-04-2021,Monza,1 - 1,Pescara
10-04-2021,Ascoli,1 - 0,Monza
17-04-2021,Monza,2 - 1,Cremonese
01-05-2021,Salernitana,1 - 3,Monza
04-05-2021,Monza,1 - 0,Lecce
07-05-2021,Nuova Cosenza,0 - 3,Monza
10-05-2021,Monza,0 - 2,Brescia
17-05-2021,Cittadella,3 - 0,Monza
20-05-2021,Monza,2 - 0,Cittadella
26-09-2020,Nuova Cosenza,0 - 0,Virtus Entella
03-10-2020,Spal,1 - 1,Nuova Cosenza
17-10-2020,Nuova Cosenza,1 - 1,Cittadella
20-10-2020,Reggina,0 - 0,Nuova Cosenza
25-10-2020,Nuova Cosenza,1 - 1,Lecce
31-10-2020,Chievo,2 - 0,Nuova Cosenza
07-11-2020,Nuova Cosenza,1 - 2,Brescia
20-11-2020,Frosinone,0 - 2,Nuova Cosenza
29-11-2020,Nuova Cosenza,0 - 1,Salernitana
06-12-2020,Vicenza Virtus,1 - 1,Nuova Cosenza
12-12-2020,Nuova Cosenza,0 - 1,Reggiana
15-12-2020,Ascoli,0 - 3,Nuova Cosenza
19-12-2020,Cremonese,1 - 0,Nuova Cosenza
22-12-2020,Nuova Cosenza,0 - 0,Venezia
27-12-2020,Nuova Cosenza,1 - 1,Pisa
30-12-2020,Pescara,0 - 0,Nuova Cosenza
04-01-2021,Nuova Cosenza,0 - 2,Empoli
16-01-2021,Monza,2 - 2,Nuova Cosenza
23-01-2021,Nuova Cosenza,0 - 0,Pordenone
30-01-2021,Virtus Entella,1 - 2,Nuova Cosenza
06-02-2021,Nuova Cosenza,1 - 1,Spal
09-02-2021,Cittadella,1 - 1,Nuova Cosenza
15-02-2021,Nuova Cosenza,2 - 2,Reggina
21-02-2021,Lecce,3 - 1,Nuova Cosenza
27-02-2021,Nuova Cosenza,1 - 0,Chievo
02-03-2021,Brescia,2 - 0,Nuova Cosenza
06-03-2021,Nuova Cosenza,1 - 2,Frosinone
13-03-2021,Salernitana,0 - 0,Nuova Cosenza
16-03-2021,Nuova Cosenza,1 - 1,Vicenza Virtus
20-03-2021,Reggiana,1 - 1,Nuova Cosenza
02-04-2021,Nuova Cosenza,2 - 1,Ascoli
05-04-2021,Nuova Cosenza,0 - 1,Cremonese
